Station,Year,Month,Temperature,Lep  (cell ml-1),DIN (¦ÌM),DIP (¦ÌM),N:P,Turbidity,Tchla,Salinity
WM3,2000,4,21.2 ,7 ,26.43 ,0.84 ,31.51,7,1,29.7
WM3,2000,5,25.7 ,42 ,18.86 ,0.71 ,26.57,5.9,3.8,30.0
WM3,2000,7,27.8 ,71 ,15.93 ,0.26 ,61.72,17.4,10,28.5
WM3,2001,5,25.5 ,21 ,22.36 ,0.61 ,36.48,7.8,5.3,30.3
WM3,2001,7,27.4 ,64 ,38.36 ,0.77 ,49.54,6.8,2.3,22.7
WM3,2001,8,27.5 ,198 ,19.29 ,0.26 ,74.73,8,13,26.2
WM3,2002,7,27.0 ,7 ,30.50 ,0.19 ,157.58,9.2,17,25.0
WM3,2002,8,25.6 ,14 ,14.64 ,0.23 ,64.85,15.3,7.9,31.0
WM3,2002,9,26.4 ,114 ,26.50 ,0.10 ,273.83,8.7,17,25.9
WM3,2003,6,27.6 ,28 ,68.57 ,0.94 ,73.24,5.2,2.7,18.5
WM3,2003,7,26.6 ,35 ,32.21 ,0.29 ,110.87,5.3,23,26.5
WM3,2003,8,26.6 ,192 ,20.43 ,0.45 ,45.20,4.2,15,30.8
WM3,2004,4,23.5 ,21 ,29.00 ,1.16 ,24.95,9.4,5.3,32.6
WM3,2004,6,29.2 ,64 ,39.64 ,0.58 ,68.22,9.4,8.2,27.4
WM3,2004,7,26.5 ,149 ,45.00 ,0.65 ,69.69,9.3,7,24.8
WM3,2004,8,26.6 ,425 ,23.36 ,0.68 ,34.45,9.4,13,30.2
WM3,2004,11,24.4 ,53 ,19.71 ,0.81 ,24.43,12.2,0.9,32.4
WM3,2005,7,26.8 ,212 ,37.50 ,0.77 ,48.40,10.7,7.5,25.7
WM3,2005,8,26.9 ,28 ,25.00 ,0.87 ,28.68,12,1.9,29.7
WM3,2005,11,25.6 ,42 ,20.93 ,0.94 ,22.35,11.4,1.7,32.4
WM3,2006,7,28.2 ,127 ,39.79 ,0.23 ,176.04,8.6,11,21.5
WM3,2006,9,26.4 ,191 ,28.79 ,1.19 ,24.10,14.4,2.9,30.1
WM3,2006,10,27.4 ,35 ,26.86 ,0.97 ,27.73,16.2,1.2,31.0
WM3,2007,6,27.7 ,170 ,39.79 ,0.32 ,123.23,9.9,3.9,23.5
WM3,2007,7,26.5 ,347 ,37.29 ,0.77 ,48.12,14.3,9.7,27.7
WM3,2007,11,23.6 ,106 ,18.93 ,0.87 ,21.71,4.4,3.4,32.9
WM3,2008,5,24.9 ,21 ,17.50 ,0.58 ,30.11,7.6,1.4,32.9
WM3,2008,7,26.6 ,389 ,35.64 ,0.39 ,92.00,10.1,2.9,23.6
WM3,2008,8,26.1 ,42 ,35.71 ,1.00 ,35.68,7.8,3.2,27.6
WM3,2008,9,28.2 ,14 ,32.93 ,1.10 ,30.00,9.3,2.8,29.0
