Station,Year,Month,Temperature,Pse  (cell ml-1),DIN (¦ÌM),DIP (¦ÌM),N:P,Turbidity,Tchla,Salinity
WM3,2000,4,21.2 ,7,26.43 ,0.84 ,31.51,7,1,29.7
WM3,2000,6,26.9 ,49,44.57 ,1.03 ,43.18,6.3,3.7,22.9
WM3,2000,7,27.8 ,269,15.93 ,0.26 ,61.72,17.4,10,28.5
WM3,2000,8,25.7 ,7,28.36 ,1.19 ,23.76,6.7,0.2,29.7
WM3,2000,11,24.3 ,9,15.14 ,0.84 ,18.05,11.2,2.5,32.8
WM3,2000,12,20.6 ,4,18.21 ,0.74 ,24.55,14.8,2.6,31.8
WM3,2001,1,19.0 ,5,26.50 ,0.97 ,27.38,14.7,1.3,31.2
WM3,2001,3,17.7 ,21,24.21 ,1.03 ,23.46,11.1,1.3,32.0
WM3,2001,5,25.5 ,78,22.36 ,0.61 ,36.48,7.8,5.3,30.3
WM3,2001,7,27.4 ,71,38.36 ,0.77 ,49.54,6.8,2.3,22.7
WM3,2001,8,27.5 ,212,19.29 ,0.26 ,74.73,8,13,26.2
WM3,2001,11,25.8 ,11,17.43 ,0.48 ,36.02,15,1.8,31.2
WM3,2001,12,21.3 ,28,15.36 ,0.58 ,26.45,8.8,1.1,31.7
WM3,2002,5,25.8 ,35,38.29 ,1.35 ,28.26,11.9,0.9,31.5
WM3,2002,6,27.5 ,21,20.00 ,0.19 ,103.33,8.4,8.4,30.2
WM3,2002,7,27.0 ,411,30.50 ,0.19 ,157.58,9.2,17,25.0
WM3,2002,8,25.6 ,149,14.64 ,0.23 ,64.85,15.3,7.9,31.0
WM3,2002,9,26.4 ,170,26.50 ,0.10 ,273.83,8.7,17,25.9
WM3,2002,12,21.6 ,5,18.79 ,0.81 ,23.29,18.5,1.3,33.2
WM3,2003,1,18.6 ,37,8.29 ,0.45 ,18.33,44.9,2,32.9
WM3,2003,5,27.1 ,28,28.07 ,0.68 ,41.40,8.8,5.1,29.6
WM3,2003,6,27.6 ,588,68.57 ,0.94 ,73.24,5.2,2.7,18.5
WM3,2003,7,26.6 ,574,32.21 ,0.29 ,110.87,5.3,23,26.5
WM3,2003,8,26.6 ,1451,20.43 ,0.45 ,45.20,4.2,15,30.8
WM3,2003,9,27.9 ,78,33.36 ,0.94 ,35.63,10.6,1,28.9
WM3,2003,10,26.7 ,14,17.29 ,0.84 ,20.59,11.4,2,32.7
WM3,2003,11,24.7 ,7,12.71 ,0.65 ,19.69,9.6,1.5,32.8
WM3,2004,1,18.4 ,14,13.93 ,0.52 ,26.96,8.7,3.7,33.1
WM3,2004,4,23.5 ,57,29.00 ,1.16 ,24.95,9.4,5.3,32.6
WM3,2004,6,29.2 ,56,39.64 ,0.58 ,68.22,9.4,8.2,27.4
WM3,2004,7,26.5 ,127,45.00 ,0.65 ,69.69,9.3,7,24.8
WM3,2004,8,26.6 ,2690,23.36 ,0.68 ,34.45,9.4,13,30.2
WM3,2004,9,26.3 ,35,22.64 ,0.81 ,28.05,8.3,9,31.0
WM3,2004,10,26.8 ,7,33.29 ,1.61 ,20.62,11.7,1.4,32.5
WM3,2004,11,24.4 ,11,19.71 ,0.81 ,24.43,12.2,0.9,32.4
WM3,2005,4,19.2 ,114,26.86 ,0.81 ,33.27,7.3,1.5,32.4
WM3,2005,5,25.0 ,28,56.14 ,1.03 ,54.34,5,1.4,28.7
WM3,2005,6,27.5 ,7,24.07 ,0.48 ,49.71,11.3,0.8,26.0
WM3,2005,7,26.8 ,234,37.50 ,0.77 ,48.40,10.7,7.5,25.7
WM3,2005,8,26.9 ,226,25.00 ,0.87 ,28.68,12,1.9,29.7
WM3,2005,9,27.8 ,35,21.64 ,0.68 ,31.92,15.9,7.1,31.0
WM3,2005,10,27.7 ,42,24.71 ,1.13 ,21.87,14.7,1.6,32.2
WM3,2005,11,25.6 ,77,20.93 ,0.94 ,22.35,11.4,1.7,32.4
WM3,2006,1,17.1 ,5,16.57 ,0.71 ,23.33,11,4.1,32.6
WM3,2006,3,18.5 ,7,19.57 ,0.77 ,25.26,11.4,1.2,32.5
WM3,2006,5,25.9 ,7,35.21 ,1.00 ,35.18,5.9,1.1,29.4
WM3,2006,6,25.6 ,42,34.71 ,0.77 ,44.80,6.4,1.4,28.6
WM3,2006,7,28.2 ,177,39.79 ,0.23 ,176.04,8.6,11,21.5
WM3,2006,8,27.1 ,7,29.43 ,0.97 ,30.38,13.7,1.4,27.5
WM3,2006,9,26.4 ,177,28.79 ,1.19 ,24.10,14.4,2.9,30.1
WM3,2006,10,27.4 ,7,26.86 ,0.97 ,27.73,16.2,1.2,31.0
WM3,2007,2,17.4 ,28,12.21 ,0.61 ,19.91,11.1,8,32.8
WM3,2007,6,27.7 ,78,39.79 ,0.32 ,123.23,9.9,3.9,23.5
WM3,2007,7,26.5 ,305,37.29 ,0.77 ,48.12,14.3,9.7,27.7
WM3,2007,8,25.8 ,70,40.00 ,1.29 ,30.97,12.4,3.2,29.6
WM3,2007,9,27.7 ,7,16.50 ,0.84 ,19.66,14.7,1.2,32.6
WM3,2007,10,27.7 ,35,22.21 ,0.97 ,22.94,11.5,1.3,31.9
WM3,2008,1,18.9 ,56,27.00 ,1.23 ,22.01,7.6,2.3,31.3
WM3,2008,3,15.4 ,7,26.79 ,0.97 ,27.66,8.9,2.1,31.8
WM3,2008,4,20.1 ,21,18.86 ,0.77 ,24.34,9.8,1.1,33.0
WM3,2008,5,24.9 ,71,17.50 ,0.58 ,30.11,7.6,1.4,32.9
WM3,2008,6,26.1 ,50,34.07 ,0.71 ,47.97,7.3,2.7,30.0
WM3,2008,7,26.6 ,305,35.64 ,0.39 ,92.00,10.1,2.9,23.6
